Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/go/sha256,32827,0,57,61.166773144080345,26.32953899956192,1755.9917289981968,75.0,294.18378755809715,0.0,57,62,65,68,78,86,100,110,160,1500,1800
GET,/go/sha256?hash=be018cef50798b9791bdd64066e9f10388f36d4ab06b1e6891dbfb4e22643fa5,32571,0,57,61.46000293371266,27.45911600140971,1738.2032220011752,21.0,291.8896074741762,0.0,57,62,65,68,78,86,100,110,160,1600,1700
POST,/nodejs/sha256,33060,0,65,68.74534744213796,35.453308999422006,1741.4423109985364,75.0,296.27184990010335,0.0,65,71,75,78,88,98,110,130,180,1500,1700
GET,/nodejs/sha256?hash=be018cef50798b9791bdd64066e9f10388f36d4ab06b1e6891dbfb4e22643fa5,33307,0,65,69.01299359213748,26.545421002083458,1636.05543200174,21.0,298.4853752154489,0.0,65,71,76,79,88,99,110,130,180,1400,1600
,Aggregated,131765,0,61,65.12406467244692,26.32953899956192,1755.9917289981968,48.00184419231207,1180.8306201478256,0.0,61,67,71,74,84,94,110,120,170,1500,1800
